127.0.0.1 - - [28/Mar/2018:13:34:27 +0200] "GET /vezbe04/WEB-INF/classes/service/StudentskaSluzba.java HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:35:52 +0200] "POST /Vezbe04/ss/smerovi HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:36:50 +0200] "POST /vezbe04/ss/smerovi HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:37:06 +0200] "GET /vezbe04/ss/smerovi HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:44:09 +0200] "GET /vezbe04/ss/smerovi HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:48:49 +0200] "GET /vezbe04/ss/smerovi HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:50:00 +0200] "GET /vezbe04/ss/smerovi HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:50:07 +0200] "GET /vezbe04/ss/smerovi/1 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:50:15 +0200] "GET /vezbe04/ss/smerovi/2 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:50:17 +0200] "GET /vezbe04/ss/smerovi/1 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:50:18 +0200] "GET /vezbe04/ss/smerovi HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:50:22 +0200] "GET /vezbe04/ss/smerovi/1 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:53:19 +0200] "GET /vezbe04/ss/smerovi/1 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:53:24 +0200] "GET /vezbe04/ss/smerovi/1/studenti HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:56:44 +0200] "GET /vezbe04/ss/smerovi/1/studenti/4 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:56:46 +0200] "GET /vezbe04/ss/smerovi/1/studenti/3 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:13:56:47 +0200] "GET /vezbe04/ss/smerovi/1/studenti/4 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:03:06 +0200] "GET /vezbe04/ss/smerovi/ HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:03:07 +0200] "GET /vezbe04/ss/smerovi HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:03:10 +0200] "GET /vezbe04/ss/smerovi/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:03:15 +0200] "GET /vezbe04/ss/smerovi/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:03:20 +0200] "GET /vezbe04/ss/smerovi/ HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:03:23 +0200] "GET /vezbe04/ss/smerovi/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:04:16 +0200] "GET /vezbe04/ss/smerovi/1 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:06:14 +0200] "GET /vezbe04/ss/smerovi/1/studenti HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:11:52 +0200] "GET /vezbe04/ss/smerovi/1/studenti/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:11:53 +0200] "GET /vezbe04/ss/smerovi/1/studenti/2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:11:54 +0200] "GET /vezbe04/ss/smerovi/1/studenti/3 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:11:55 +0200] "GET /vezbe04/ss/smerovi/1/studenti/4 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:11:58 +0200] "GET /vezbe04/ss/smerovi/1/studenti/4 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:12:13 +0200] "GET /vezbe04/ss/smerovi/1/studenti/3 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:12:16 +0200] "GET /vezbe04/ss/smerovi/1/studenti/ HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [28/Mar/2018:14:12:23 +0200] "GET /vezbe04/ss/smerovi/1/studenti/0 HTTP/1.1" 200 31
